"REF_DATE","GEO","DGUID","Components of population growth","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1997/1998","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","345123","","","","0"
"1998/1999","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","338295","","","","0"
"1999/2000","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","336912","","","","0"
"2000/2001","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","327487","","","","0"
"2001/2002","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","329131","","","","0"
"2002/2003","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","331640","","","","0"
"2003/2004","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","339351","","","","0"
"2004/2005","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","341833","","","","0"
"2005/2006","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","349162","","","","0"
"2006/2007","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","363935","","","","0"
"2007/2008","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","376992","","","","0"
"2008/2009","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","383257","","","","0"
"2009/2010","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","382159","","","","0"
"2010/2011","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","378665","","","","0"
"2011/2012","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","380335","","","","0"
"2012/2013","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","382609","","","","0"
"2013/2014","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","382877","","","","0"
"2014/2015","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","383839","","","","0"
"2015/2016","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","384300","","","","0"
"2016/2017","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","380554","","","","0"
"2017/2018","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","377163","","","","0"
"2018/2019","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","373307","","","","0"
"2019/2020","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","371321","","","","0"
"2020/2021","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","362563","","","","0"
"2021/2022","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","364503","","","","0"
"2022/2023","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","357903","","","","0"
"1997/1998","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","217688","","","","0"
"1998/1999","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","217632","","","","0"
"1999/2000","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","217229","","","","0"
"2000/2001","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","219320","","","","0"
"2001/2002","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","220847","","","","0"
"2002/2003","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","224254","","","","0"
"2003/2004","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","229256","","","","0"
"2004/2005","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","230211","","","","0"
"2005/2006","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","225915","","","","0"
"2006/2007","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","234193","","","","0"
"2007/2008","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","236696","","","","0"
"2008/2009","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","237896","","","","0"
