"PÉRIODE DE RÉFÉRENCE";"GÉO";"DGUID";"UNITÉ DE MESURE";"IDENTIFICATEUR D'UNITÉ DE MESURE";"FACTEUR SCALAIRE";"IDENTIFICATEUR SCALAIRE";"VECTEUR";"COORDONNÉES";"VALEUR";"STATUS";"SYMBOLE";"TERMINÉ";"DÉCIMALES"
"2007-06";"Canada";"2016A000011124";"Pourcent";"239";"unités";"0";"v733833";"1";"6.51";"";"";"";"2"
"2007-07";"Canada";"2016A000011124";"Pourcent";"239";"unités";"0";"v733833";"1";"6.60";"";"";"";"2"
"2007-08";"Canada";"2016A000011124";"Pourcent";"239";"unités";"0";"v733833";"1";"6.62";"";"";"";"2"
"2007-09";"Canada";"2016A000011124";"Pourcent";"239";"unités";"0";"v733833";"1";"6.61";"";"";"";"2"
"2007-10";"Canada";"2016A000011124";"Pourcent";"239";"unités";"0";"v733833";"1";"6.69";"";"";"";"2"
"2007-11";"Canada";"2016A000011124";"Pourcent";"239";"unités";"0";"v733833";"1";"6.73";"";"";"";"2"
"2007-12";"Canada";"2016A000011124";"Pourcent";"239";"unités";"0";"v733833";"1";"6.75";"";"";"";"2"
"2008-01";"Canada";"2016A000011124";"Pourcent";"239";"unités";"0";"v733833";"1";"6.81";"";"";"";"2"
"2008-02";"Canada";"2016A000011124";"Pourcent";"239";"unités";"0";"v733833";"1";"6.72";"";"";"";"2"
"2008-03";"Canada";"2016A000011124";"Pourcent";"239";"unités";"0";"v733833";"1";"6.60";"";"";"";"2"
"2008-04";"Canada";"2016A000011124";"Pourcent";"239";"unités";"0";"v733833";"1";"6.40";"";"";"";"2"
"2008-05";"Canada";"2016A000011124";"Pourcent";"239";"unités";"0";"v733833";"1";"6.21";"";"";"";"2"
"2008-06";"Canada";"2016A000011124";"Pourcent";"239";"unités";"0";"v733833";"1";"6.20";"";"";"";"2"
"2008-07";"Canada";"2016A000011124";"Pourcent";"239";"unités";"0";"v733833";"1";"6.37";"";"";"";"2"
"2008-08";"Canada";"2016A000011124";"Pourcent";"239";"unités";"0";"v733833";"1";"6.25";"";"";"";"2"
