"PÉRIODE DE RÉFÉRENCE";"GÉO";"DGUID";"Estimations de logement";"Type d'unité";"UNITÉ DE MESURE";"IDENTIFICATEUR D'UNITÉ DE MESURE";"FACTEUR SCALAIRE";"IDENTIFICATEUR SCALAIRE";"VECTEUR";"COORDONNÉES";"VALEUR";"STATUS";"SYMBOLE";"TERMINÉ";"DÉCIMALES"
"2019";"Grandes régions urbaines";"";"Logements mis en chantier";"Maisons individuelles";"Unités";"300";"unités";"0";"v730784";"1.1.2";"4611";"";"";"";"0"
"2020";"Grandes régions urbaines";"";"Logements mis en chantier";"Maisons individuelles";"Unités";"300";"unités";"0";"v730784";"1.1.2";"4430";"";"";"";"0"
"2021";"Grandes régions urbaines";"";"Logements mis en chantier";"Maisons individuelles";"Unités";"300";"unités";"0";"v730784";"1.1.2";"6112";"";"";"";"0"
"2022";"Grandes régions urbaines";"";"Logements mis en chantier";"Maisons individuelles";"Unités";"300";"unités";"0";"v730784";"1.1.2";"4945";"";"";"";"0"
"2023";"Grandes régions urbaines";"";"Logements mis en chantier";"Maisons individuelles";"Unités";"300";"unités";"0";"v730784";"1.1.2";"3474";"";"";"";"0"
"2005";"Grandes régions urbaines";"";"Logements mis en chantier";"Logements jumelés";"Unités";"300";"unités";"0";"v730832";"1.1.3";"1577";"";"";"";"0"
"2006";"Grandes régions urbaines";"";"Logements mis en chantier";"Logements jumelés";"Unités";"300";"unités";"0";"v730832";"1.1.3";"1717";"";"";"";"0"
"2007";"Grandes régions urbaines";"";"Logements mis en chantier";"Logements jumelés";"Unités";"300";"unités";"0";"v730832";"1.1.3";"1200";"";"";"";"0"
"2008";"Grandes régions urbaines";"";"Logements mis en chantier";"Logements jumelés";"Unités";"300";"unités";"0";"v730832";"1.1.3";"944";"";"";"";"0"
"2009";"Grandes régions urbaines";"";"Logements mis en chantier";"Logements jumelés";"Unités";"300";"unités";"0";"v730832";"1.1.3";"822";"";"";"";"0"
"2010";"Grandes régions urbaines";"";"Logements mis en chantier";"Logements jumelés";"Unités";"300";"unités";"0";"v730832";"1.1.3";"986";"";"";"";"0"
"2011";"Grandes régions urbaines";"";"Logements mis en chantier";"Logements jumelés";"Unités";"300";"unités";"0";"v730832";"1.1.3";"801";"";"";"";"0"
"2012";"Grandes régions urbaines";"";"Logements mis en chantier";"Logements jumelés";"Unités";"300";"unités";"0";"v730832";"1.1.3";"945";"";"";"";"0"
"2013";"Grandes régions urbaines";"";"Logements mis en chantier";"Logements jumelés";"Unités";"300";"unités";"0";"v730832";"1.1.3";"914";"";"";"";"0"
"2014";"Grandes régions urbaines";"";"Logements mis en chantier";"Logements jumelés";"Unités";"300";"unités";"0";"v730832";"1.1.3";"898";"";"";"";"0"
"2015";"Grandes régions urbaines";"";"Logements mis en chantier";"Logements jumelés";"Unités";"300";"unités";"0";"v730832";"1.1.3";"838";"";"";"";"0"
"2016";"Grandes régions urbaines";"";"Logements mis en chantier";"Logements jumelés";"Unités";"300";"unités";"0";"v730832";"1.1.3";"932";"";"";"";"0"
"2017";"Grandes régions urbaines";"";"Logements mis en chantier";"Logements jumelés";"Unités";"300";"unités";"0";"v730832";"1.1.3";"1093";"";"";"";"0"
"2018";"Grandes régions urbaines";"";"Logements mis en chantier";"Logements jumelés";"Unités";"300";"unités";"0";"v730832";"1.1.3";"942";"";"";"";"0"
"2019";"Grandes régions urbaines";"";"Logements mis en chantier";"Logements jumelés";"Unités";"300";"unités";"0";"v730832";"1.1.3";"881";"";"";"";"0"
"2020";"Grandes régions urbaines";"";"Logements mis en chantier";"Logements jumelés";"Unités";"300";"unités";"0";"v730832";"1.1.3";"868";"";"";"";"0"
"2021";"Grandes régions urbaines";"";"Logements mis en chantier";"Logements jumelés";"Unités";"300";"unités";"0";"v730832";"1.1.3";"1149";"";"";"";"0"
"2022";"Grandes régions urbaines";"";"Logements mis en chantier";"Logements jumelés";"Unités";"300";"unités";"0";"v730832";"1.1.3";"916";"";"";"";"0"
"2023";"Grandes régions urbaines";"";"Logements mis en chantier";"Logements jumelés";"Unités";"300";"unités";"0";"v730832";"1.1.3";"731";"";"";"";"0"
"2005";"Grandes régions urbaines";"";"Logements mis en chantier";"Logements en bande";"Unités";"300";"unités";"0";"v730880";"1.1.4";"1986";"";"";"";"0"
"2006";"Grandes régions urbaines";"";"Logements mis en chantier";"Logements en bande";"Unités";"300";"unités";"0";"v730880";"1.1.4";"1891";"";"";"";"0"
"2007";"Grandes régions urbaines";"";"Logements mis en chantier";"Logements en bande";"Unités";"300";"unités";"0";"v730880";"1.1.4";"1173";"";"";"";"0"
"2008";"Grandes régions urbaines";"";"Logements mis en chantier";"Logements en bande";"Unités";"300";"unités";"0";"v730880";"1.1.4";"899";"";"";"";"0"
"2009";"Grandes régions urbaines";"";"Logements mis en chantier";"Logements en bande";"Unités";"300";"unités";"0";"v730880";"1.1.4";"741";"";"";"";"0"
"2010";"Grandes régions urbaines";"";"Logements mis en chantier";"Logements en bande";"Unités";"300";"unités";"0";"v730880";"1.1.4";"735";"";"";"";"0"
"2011";"Grandes régions urbaines";"";"Logements mis en chantier";"Logements en bande";"Unités";"300";"unités";"0";"v730880";"1.1.4";"688";"";"";"";"0"
"2012";"Grandes régions urbaines";"";"Logements mis en chantier";"Logements en bande";"Unités";"300";"unités";"0";"v730880";"1.1.4";"710";"";"";"";"0"
"2013";"Grandes régions urbaines";"";"Logements mis en chantier";"Logements en bande";"Unités";"300";"unités";"0";"v730880";"1.1.4";"961";"";"";"";"0"
"2014";"Grandes régions urbaines";"";"Logements mis en chantier";"Logements en bande";"Unités";"300";"unités";"0";"v730880";"1.1.4";"926";"";"";"";"0"
"2015";"Grandes régions urbaines";"";"Logements mis en chantier";"Logements en bande";"Unités";"300";"unités";"0";"v730880";"1.1.4";"947";"";"";"";"0"
"2016";"Grandes régions urbaines";"";"Logements mis en chantier";"Logements en bande";"Unités";"300";"unités";"0";"v730880";"1.1.4";"1017";"";"";"";"0"
"2017";"Grandes régions urbaines";"";"Logements mis en chantier";"Logements en bande";"Unités";"300";"unités";"0";"v730880";"1.1.4";"1346";"";"";"";"0"
"2018";"Grandes régions urbaines";"";"Logements mis en chantier";"Logements en bande";"Unités";"300";"unités";"0";"v730880";"1.1.4";"1198";"";"";"";"0"
"2019";"Grandes régions urbaines";"";"Logements mis en chantier";"Logements en bande";"Unités";"300";"unités";"0";"v730880";"1.1.4";"1066";"";"";"";"0"
"2020";"Grandes régions urbaines";"";"Logements mis en chantier";"Logements en bande";"Unités";"300";"unités";"0";"v730880";"1.1.4";"919";"";"";"";"0"
"2021";"Grandes régions urbaines";"";"Logements mis en chantier";"Logements en bande";"Unités";"300";"unités";"0";"v730880";"1.1.4";"1222";"";"";"";"0"
"2022";"Grandes régions urbaines";"";"Logements mis en chantier";"Logements en bande";"Unités";"300";"unités";"0";"v730880";"1.1.4";"1582";"";"";"";"0"
"2023";"Grandes régions urbaines";"";"Logements mis en chantier";"Logements en bande";"Unités";"300";"unités";"0";"v730880";"1.1.4";"936";"";"";"";"0"
"2005";"Grandes régions urbaines";"";"Logements mis en chantier";"Appartements et autres logements";"Unités";"300";"unités";"0";"v730928";"1.1.5";"3552";"";"";"";"0"
"2006";"Grandes régions urbaines";"";"Logements mis en chantier";"Appartements et autres logements";"Unités";"300";"unités";"0";"v730928";"1.1.5";"3800";"";"";"";"0"
"2007";"Grandes régions urbaines";"";"Logements mis en chantier";"Appartements et autres logements";"Unités";"300";"unités";"0";"v730928";"1.1.5";"4090";"";"";"";"0"
"2008";"Grandes régions urbaines";"";"Logements mis en chantier";"Appartements et autres logements";"Unités";"300";"unités";"0";"v730928";"1.1.5";"2965";"";"";"";"0"
"2009";"Grandes régions urbaines";"";"Logements mis en chantier";"Appartements et autres logements";"Unités";"300";"unités";"0";"v730928";"1.1.5";"2536";"";"";"";"0"
"2010";"Grandes régions urbaines";"";"Logements mis en chantier";"Appartements et autres logements";"Unités";"300";"unités";"0";"v730928";"1.1.5";"2564";"";"";"";"0"
"2011";"Grandes régions urbaines";"";"Logements mis en chantier";"Appartements et autres logements";"Unités";"300";"unités";"0";"v730928";"1.1.5";"2894";"";"";"";"0"
"2012";"Grandes régions urbaines";"";"Logements mis en chantier";"Appartements et autres logements";"Unités";"300";"unités";"0";"v730928";"1.1.5";"2446";"";"";"";"0"
"2013";"Grandes régions urbaines";"";"Logements mis en chantier";"Appartements et autres logements";"Unités";"300";"unités";"0";"v730928";"1.1.5";"2965";"";"";"";"0"
"2014";"Grandes régions urbaines";"";"Logements mis en chantier";"Appartements et autres logements";"Unités";"300";"unités";"0";"v730928";"1.1.5";"2708";"";"";"";"0"
"2015";"Grandes régions urbaines";"";"Logements mis en chantier";"Appartements et autres logements";"Unités";"300";"unités";"0";"v730928";"1.1.5";"2915";"";"";"";"0"
"2016";"Grandes régions urbaines";"";"Logements mis en chantier";"Appartements et autres logements";"Unités";"300";"unités";"0";"v730928";"1.1.5";"3144";"";"";"";"0"
"2017";"Grandes régions urbaines";"";"Logements mis en chantier";"Appartements et autres logements";"Unités";"300";"unités";"0";"v730928";"1.1.5";"2677";"";"";"";"0"
"2018";"Grandes régions urbaines";"";"Logements mis en chantier";"Appartements et autres logements";"Unités";"300";"unités";"0";"v730928";"1.1.5";"4998";"";"";"";"0"
"2019";"Grandes régions urbaines";"";"Logements mis en chantier";"Appartements et autres logements";"Unités";"300";"unités";"0";"v730928";"1.1.5";"5251";"";"";"";"0"
"2020";"Grandes régions urbaines";"";"Logements mis en chantier";"Appartements et autres logements";"Unités";"300";"unités";"0";"v730928";"1.1.5";"5295";"";"";"";"0"
"2021";"Grandes régions urbaines";"";"Logements mis en chantier";"Appartements et autres logements";"Unités";"300";"unités";"0";"v730928";"1.1.5";"5667";"";"";"";"0"
"2022";"Grandes régions urbaines";"";"Logements mis en chantier";"Appartements et autres logements";"Unités";"300";"unités";"0";"v730928";"1.1.5";"6933";"";"";"";"0"
"2023";"Grandes régions urbaines";"";"Logements mis en chantier";"Appartements et autres logements";"Unités";"300";"unités";"0";"v730928";"1.1.5";"4212";"";"";"";"0"
"2005";"Grandes régions urbaines";"";"Logements en construction";"Total d'unités";"Unités";"300";"unités";"0";"v731670";"1.2.1";"11501";"";"";"";"0"
"2006";"Grandes régions urbaines";"";"Logements en construction";"Total d'unités";"Unités";"300";"unités";"0";"v731670";"1.2.1";"12238";"";"";"";"0"
"2007";"Grandes régions urbaines";"";"Logements en construction";"Total d'unités";"Unités";"300";"unités";"0";"v731670";"1.2.1";"9950";"";"";"";"0"
"2008";"Grandes régions urbaines";"";"Logements en construction";"Total d'unités";"Unités";"300";"unités";"0";"v731670";"1.2.1";"8293";"";"";"";"0"
"2009";"Grandes régions urbaines";"";"Logements en construction";"Total d'unités";"Unités";"300";"unités";"0";"v731670";"1.2.1";"7272";"";"";"";"0"
"2010";"Grandes régions urbaines";"";"Logements en construction";"Total d'unités";"Unités";"300";"unités";"0";"v731670";"1.2.1";"7983";"";"";"";"0"
"2011";"Grandes régions urbaines";"";"Logements en construction";"Total d'unités";"Unités";"300";"unités";"0";"v731670";"1.2.1";"7381";"";"";"";"0"
"2012";"Grandes régions urbaines";"";"Logements en construction";"Total d'unités";"Unités";"300";"unités";"0";"v731670";"1.2.1";"7398";"";"";"";"0"
"2013";"Grandes régions urbaines";"";"Logements en construction";"Total d'unités";"Unités";"300";"unités";"0";"v731670";"1.2.1";"8158";"";"";"";"0"
"2014";"Grandes régions urbaines";"";"Logements en construction";"Total d'unités";"Unités";"300";"unités";"0";"v731670";"1.2.1";"7922";"";"";"";"0"
"2015";"Grandes régions urbaines";"";"Logements en construction";"Total d'unités";"Unités";"300";"unités";"0";"v731670";"1.2.1";"7715";"";"";"";"0"
"2016";"Grandes régions urbaines";"";"Logements en construction";"Total d'unités";"Unités";"300";"unités";"0";"v731670";"1.2.1";"7856";"";"";"";"0"
"2017";"Grandes régions urbaines";"";"Logements en construction";"Total d'unités";"Unités";"300";"unités";"0";"v731670";"1.2.1";"9733";"";"";"";"0"
"2018";"Grandes régions urbaines";"";"Logements en construction";"Total d'unités";"Unités";"300";"unités";"0";"v731670";"1.2.1";"10789";"";"";"";"0"
"2019";"Grandes régions urbaines";"";"Logements en construction";"Total d'unités";"Unités";"300";"unités";"0";"v731670";"1.2.1";"10945";"";"";"";"0"
"2020";"Grandes régions urbaines";"";"Logements en construction";"Total d'unités";"Unités";"300";"unités";"0";"v731670";"1.2.1";"11159";"";"";"";"0"
"2021";"Grandes régions urbaines";"";"Logements en construction";"Total d'unités";"Unités";"300";"unités";"0";"v731670";"1.2.1";"13056";"";"";"";"0"
"2022";"Grandes régions urbaines";"";"Logements en construction";"Total d'unités";"Unités";"300";"unités";"0";"v731670";"1.2.1";"14256";"";"";"";"0"
"2005";"Grandes régions urbaines";"";"Logements en construction";"Maisons individuelles";"Unités";"300";"unités";"0";"v731719";"1.2.2";"5062";"";"";"";"0"
"2006";"Grandes régions urbaines";"";"Logements en construction";"Maisons individuelles";"Unités";"300";"unités";"0";"v731719";"1.2.2";"5568";"";"";"";"0"
"2007";"Grandes régions urbaines";"";"Logements en construction";"Maisons individuelles";"Unités";"300";"unités";"0";"v731719";"1.2.2";"4916";"";"";"";"0"
"2008";"Grandes régions urbaines";"";"Logements en construction";"Maisons individuelles";"Unités";"300";"unités";"0";"v731719";"1.2.2";"4030";"";"";"";"0"
"2009";"Grandes régions urbaines";"";"Logements en construction";"Maisons individuelles";"Unités";"300";"unités";"0";"v731719";"1.2.2";"3408";"";"";"";"0"
"2010";"Grandes régions urbaines";"";"Logements en construction";"Maisons individuelles";"Unités";"300";"unités";"0";"v731719";"1.2.2";"3631";"";"";"";"0"
"2011";"Grandes régions urbaines";"";"Logements en construction";"Maisons individuelles";"Unités";"300";"unités";"0";"v731719";"1.2.2";"3406";"";"";"";"0"
"2012";"Grandes régions urbaines";"";"Logements en construction";"Maisons individuelles";"Unités";"300";"unités";"0";"v731719";"1.2.2";"3487";"";"";"";"0"
"2013";"Grandes régions urbaines";"";"Logements en construction";"Maisons individuelles";"Unités";"300";"unités";"0";"v731719";"1.2.2";"3431";"";"";"";"0"
"2014";"Grandes régions urbaines";"";"Logements en construction";"Maisons individuelles";"Unités";"300";"unités";"0";"v731719";"1.2.2";"3677";"";"";"";"0"
"2015";"Grandes régions urbaines";"";"Logements en construction";"Maisons individuelles";"Unités";"300";"unités";"0";"v731719";"1.2.2";"3115";"";"";"";"0"
"2016";"Grandes régions urbaines";"";"Logements en construction";"Maisons individuelles";"Unités";"300";"unités";"0";"v731719";"1.2.2";"3360";"";"";"";"0"
"2017";"Grandes régions urbaines";"";"Logements en construction";"Maisons individuelles";"Unités";"300";"unités";"0";"v731719";"1.2.2";"4320";"";"";"";"0"
"2018";"Grandes régions urbaines";"";"Logements en construction";"Maisons individuelles";"Unités";"300";"unités";"0";"v731719";"1.2.2";"3498";"";"";"";"0"
"2019";"Grandes régions urbaines";"";"Logements en construction";"Maisons individuelles";"Unités";"300";"unités";"0";"v731719";"1.2.2";"3222";"";"";"";"0"
"2020";"Grandes régions urbaines";"";"Logements en construction";"Maisons individuelles";"Unités";"300";"unités";"0";"v731719";"1.2.2";"3059";"";"";"";"0"
"2021";"Grandes régions urbaines";"";"Logements en construction";"Maisons individuelles";"Unités";"300";"unités";"0";"v731719";"1.2.2";"3933";"";"";"";"0"
"2022";"Grandes régions urbaines";"";"Logements en construction";"Maisons individuelles";"Unités";"300";"unités";"0";"v731719";"1.2.2";"3826";"";"";"";"0"
"2005";"Grandes régions urbaines";"";"Logements en construction";"Logements jumelés";"Unités";"300";"unités";"0";"v731767";"1.2.3";"792";"";"";"";"0"
"2006";"Grandes régions urbaines";"";"Logements en construction";"Logements jumelés";"Unités";"300";"unités";"0";"v731767";"1.2.3";"960";"";"";"";"0"
"2007";"Grandes régions urbaines";"";"Logements en construction";"Logements jumelés";"Unités";"300";"unités";"0";"v731767";"1.2.3";"789";"";"";"";"0"
"2008";"Grandes régions urbaines";"";"Logements en construction";"Logements jumelés";"Unités";"300";"unités";"0";"v731767";"1.2.3";"672";"";"";"";"0"
"2009";"Grandes régions urbaines";"";"Logements en construction";"Logements jumelés";"Unités";"300";"unités";"0";"v731767";"1.2.3";"612";"";"";"";"0"
"2010";"Grandes régions urbaines";"";"Logements en construction";"Logements jumelés";"Unités";"300";"unités";"0";"v731767";"1.2.3";"580";"";"";"";"0"
"2011";"Grandes régions urbaines";"";"Logements en construction";"Logements jumelés";"Unités";"300";"unités";"0";"v731767";"1.2.3";"518";"";"";"";"0"
"2012";"Grandes régions urbaines";"";"Logements en construction";"Logements jumelés";"Unités";"300";"unités";"0";"v731767";"1.2.3";"615";"";"";"";"0"
