"PÉRIODE DE RÉFÉRENCE";"GÉO";"DGUID";"Estimations de logement";"Type d'unité";"UNITÉ DE MESURE";"IDENTIFICATEUR D'UNITÉ DE MESURE";"FACTEUR SCALAIRE";"IDENTIFICATEUR SCALAIRE";"VECTEUR";"COORDONNÉES";"VALEUR";"STATUS";"SYMBOLE";"TERMINÉ";"DÉCIMALES"
"2011";"Grandes régions urbaines";"";"Logements en construction";"Appartements et autres logements";"Unités";"300";"unités";"0";"v731863";"1.2.5";"2758";"";"";"";"0"
"2012";"Grandes régions urbaines";"";"Logements en construction";"Appartements et autres logements";"Unités";"300";"unités";"0";"v731863";"1.2.5";"2551";"";"";"";"0"
"2013";"Grandes régions urbaines";"";"Logements en construction";"Appartements et autres logements";"Unités";"300";"unités";"0";"v731863";"1.2.5";"3241";"";"";"";"0"
"2014";"Grandes régions urbaines";"";"Logements en construction";"Appartements et autres logements";"Unités";"300";"unités";"0";"v731863";"1.2.5";"2780";"";"";"";"0"
"2015";"Grandes régions urbaines";"";"Logements en construction";"Appartements et autres logements";"Unités";"300";"unités";"0";"v731863";"1.2.5";"3077";"";"";"";"0"
"2016";"Grandes régions urbaines";"";"Logements en construction";"Appartements et autres logements";"Unités";"300";"unités";"0";"v731863";"1.2.5";"2995";"";"";"";"0"
"2017";"Grandes régions urbaines";"";"Logements en construction";"Appartements et autres logements";"Unités";"300";"unités";"0";"v731863";"1.2.5";"3273";"";"";"";"0"
"2018";"Grandes régions urbaines";"";"Logements en construction";"Appartements et autres logements";"Unités";"300";"unités";"0";"v731863";"1.2.5";"5436";"";"";"";"0"
"2019";"Grandes régions urbaines";"";"Logements en construction";"Appartements et autres logements";"Unités";"300";"unités";"0";"v731863";"1.2.5";"6009";"";"";"";"0"
"2020";"Grandes régions urbaines";"";"Logements en construction";"Appartements et autres logements";"Unités";"300";"unités";"0";"v731863";"1.2.5";"6446";"";"";"";"0"
"2021";"Grandes régions urbaines";"";"Logements en construction";"Appartements et autres logements";"Unités";"300";"unités";"0";"v731863";"1.2.5";"7255";"";"";"";"0"
"2022";"Grandes régions urbaines";"";"Logements en construction";"Appartements et autres logements";"Unités";"300";"unités";"0";"v731863";"1.2.5";"8253";"";"";"";"0"
"2005";"Grandes régions urbaines";"";"Logements (achèvements)";"Total d'unités";"Unités";"300";"unités";"0";"v732609";"1.3.1";"17826";"";"";"";"0"
"2006";"Grandes régions urbaines";"";"Logements (achèvements)";"Total d'unités";"Unités";"300";"unités";"0";"v732609";"1.3.1";"18402";"";"";"";"0"
"2007";"Grandes régions urbaines";"";"Logements (achèvements)";"Total d'unités";"Unités";"300";"unités";"0";"v732609";"1.3.1";"13740";"";"";"";"0"
"2008";"Grandes régions urbaines";"";"Logements (achèvements)";"Total d'unités";"Unités";"300";"unités";"0";"v732609";"1.3.1";"13528";"";"";"";"0"
"2009";"Grandes régions urbaines";"";"Logements (achèvements)";"Total d'unités";"Unités";"300";"unités";"0";"v732609";"1.3.1";"10411";"";"";"";"0"
"2010";"Grandes régions urbaines";"";"Logements (achèvements)";"Total d'unités";"Unités";"300";"unités";"0";"v732609";"1.3.1";"12122";"";"";"";"0"
"2011";"Grandes régions urbaines";"";"Logements (achèvements)";"Total d'unités";"Unités";"300";"unités";"0";"v732609";"1.3.1";"10741";"";"";"";"0"
"2012";"Grandes régions urbaines";"";"Logements (achèvements)";"Total d'unités";"Unités";"300";"unités";"0";"v732609";"1.3.1";"9777";"";"";"";"0"
"2013";"Grandes régions urbaines";"";"Logements (achèvements)";"Total d'unités";"Unités";"300";"unités";"0";"v732609";"1.3.1";"10825";"";"";"";"0"
"2014";"Grandes régions urbaines";"";"Logements (achèvements)";"Total d'unités";"Unités";"300";"unités";"0";"v732609";"1.3.1";"10129";"";"";"";"0"
"2015";"Grandes régions urbaines";"";"Logements (achèvements)";"Total d'unités";"Unités";"300";"unités";"0";"v732609";"1.3.1";"9810";"";"";"";"0"
"2016";"Grandes régions urbaines";"";"Logements (achèvements)";"Total d'unités";"Unités";"300";"unités";"0";"v732609";"1.3.1";"9751";"";"";"";"0"
"2017";"Grandes régions urbaines";"";"Logements (achèvements)";"Total d'unités";"Unités";"300";"unités";"0";"v732609";"1.3.1";"9750";"";"";"";"0"
"2018";"Grandes régions urbaines";"";"Logements (achèvements)";"Total d'unités";"Unités";"300";"unités";"0";"v732609";"1.3.1";"10961";"";"";"";"0"
"2019";"Grandes régions urbaines";"";"Logements (achèvements)";"Total d'unités";"Unités";"300";"unités";"0";"v732609";"1.3.1";"11606";"";"";"";"0"
"2020";"Grandes régions urbaines";"";"Logements (achèvements)";"Total d'unités";"Unités";"300";"unités";"0";"v732609";"1.3.1";"11225";"";"";"";"0"
"2021";"Grandes régions urbaines";"";"Logements (achèvements)";"Total d'unités";"Unités";"300";"unités";"0";"v732609";"1.3.1";"12074";"";"";"";"0"
"2022";"Grandes régions urbaines";"";"Logements (achèvements)";"Total d'unités";"Unités";"300";"unités";"0";"v732609";"1.3.1";"12980";"";"";"";"0"
"2005";"Grandes régions urbaines";"";"Logements (achèvements)";"Maisons individuelles";"Unités";"300";"unités";"0";"v732658";"1.3.2";"12276";"";"";"";"0"
"2006";"Grandes régions urbaines";"";"Logements (achèvements)";"Maisons individuelles";"Unités";"300";"unités";"0";"v732658";"1.3.2";"11251";"";"";"";"0"
"2007";"Grandes régions urbaines";"";"Logements (achèvements)";"Maisons individuelles";"Unités";"300";"unités";"0";"v732658";"1.3.2";"8438";"";"";"";"0"
"2008";"Grandes régions urbaines";"";"Logements (achèvements)";"Maisons individuelles";"Unités";"300";"unités";"0";"v732658";"1.3.2";"8016";"";"";"";"0"
"2009";"Grandes régions urbaines";"";"Logements (achèvements)";"Maisons individuelles";"Unités";"300";"unités";"0";"v732658";"1.3.2";"6010";"";"";"";"0"
"2010";"Grandes régions urbaines";"";"Logements (achèvements)";"Maisons individuelles";"Unités";"300";"unités";"0";"v732658";"1.3.2";"7051";"";"";"";"0"
"2011";"Grandes régions urbaines";"";"Logements (achèvements)";"Maisons individuelles";"Unités";"300";"unités";"0";"v732658";"1.3.2";"5943";"";"";"";"0"
"2012";"Grandes régions urbaines";"";"Logements (achèvements)";"Maisons individuelles";"Unités";"300";"unités";"0";"v732658";"1.3.2";"5636";"";"";"";"0"
"2013";"Grandes régions urbaines";"";"Logements (achèvements)";"Maisons individuelles";"Unités";"300";"unités";"0";"v732658";"1.3.2";"5961";"";"";"";"0"
"2014";"Grandes régions urbaines";"";"Logements (achèvements)";"Maisons individuelles";"Unités";"300";"unités";"0";"v732658";"1.3.2";"5371";"";"";"";"0"
"2015";"Grandes régions urbaines";"";"Logements (achèvements)";"Maisons individuelles";"Unités";"300";"unités";"0";"v732658";"1.3.2";"5376";"";"";"";"0"
"2016";"Grandes régions urbaines";"";"Logements (achèvements)";"Maisons individuelles";"Unités";"300";"unités";"0";"v732658";"1.3.2";"4812";"";"";"";"0"
"2017";"Grandes régions urbaines";"";"Logements (achèvements)";"Maisons individuelles";"Unités";"300";"unités";"0";"v732658";"1.3.2";"5655";"";"";"";"0"
"2018";"Grandes régions urbaines";"";"Logements (achèvements)";"Maisons individuelles";"Unités";"300";"unités";"0";"v732658";"1.3.2";"5812";"";"";"";"0"
"2019";"Grandes régions urbaines";"";"Logements (achèvements)";"Maisons individuelles";"Unités";"300";"unités";"0";"v732658";"1.3.2";"4848";"";"";"";"0"
"2020";"Grandes régions urbaines";"";"Logements (achèvements)";"Maisons individuelles";"Unités";"300";"unités";"0";"v732658";"1.3.2";"4554";"";"";"";"0"
"2021";"Grandes régions urbaines";"";"Logements (achèvements)";"Maisons individuelles";"Unités";"300";"unités";"0";"v732658";"1.3.2";"5192";"";"";"";"0"
"2022";"Grandes régions urbaines";"";"Logements (achèvements)";"Maisons individuelles";"Unités";"300";"unités";"0";"v732658";"1.3.2";"5015";"";"";"";"0"
"2005";"Grandes régions urbaines";"";"Logements (achèvements)";"Logements jumelés";"Unités";"300";"unités";"0";"v732706";"1.3.3";"1468";"";"";"";"0"
"2006";"Grandes régions urbaines";"";"Logements (achèvements)";"Logements jumelés";"Unités";"300";"unités";"0";"v732706";"1.3.3";"1539";"";"";"";"0"
"2007";"Grandes régions urbaines";"";"Logements (achèvements)";"Logements jumelés";"Unités";"300";"unités";"0";"v732706";"1.3.3";"1139";"";"";"";"0"
"2008";"Grandes régions urbaines";"";"Logements (achèvements)";"Logements jumelés";"Unités";"300";"unités";"0";"v732706";"1.3.3";"1069";"";"";"";"0"
"2009";"Grandes régions urbaines";"";"Logements (achèvements)";"Logements jumelés";"Unités";"300";"unités";"0";"v732706";"1.3.3";"892";"";"";"";"0"
"2010";"Grandes régions urbaines";"";"Logements (achèvements)";"Logements jumelés";"Unités";"300";"unités";"0";"v732706";"1.3.3";"1065";"";"";"";"0"
"2011";"Grandes régions urbaines";"";"Logements (achèvements)";"Logements jumelés";"Unités";"300";"unités";"0";"v732706";"1.3.3";"868";"";"";"";"0"
"2012";"Grandes régions urbaines";"";"Logements (achèvements)";"Logements jumelés";"Unités";"300";"unités";"0";"v732706";"1.3.3";"860";"";"";"";"0"
"2013";"Grandes régions urbaines";"";"Logements (achèvements)";"Logements jumelés";"Unités";"300";"unités";"0";"v732706";"1.3.3";"1111";"";"";"";"0"
"2014";"Grandes régions urbaines";"";"Logements (achèvements)";"Logements jumelés";"Unités";"300";"unités";"0";"v732706";"1.3.3";"885";"";"";"";"0"
"2015";"Grandes régions urbaines";"";"Logements (achèvements)";"Logements jumelés";"Unités";"300";"unités";"0";"v732706";"1.3.3";"814";"";"";"";"0"
"2016";"Grandes régions urbaines";"";"Logements (achèvements)";"Logements jumelés";"Unités";"300";"unités";"0";"v732706";"1.3.3";"850";"";"";"";"0"
"2017";"Grandes régions urbaines";"";"Logements (achèvements)";"Logements jumelés";"Unités";"300";"unités";"0";"v732706";"1.3.3";"1000";"";"";"";"0"
"2018";"Grandes régions urbaines";"";"Logements (achèvements)";"Logements jumelés";"Unités";"300";"unités";"0";"v732706";"1.3.3";"1052";"";"";"";"0"
"2019";"Grandes régions urbaines";"";"Logements (achèvements)";"Logements jumelés";"Unités";"300";"unités";"0";"v732706";"1.3.3";"906";"";"";"";"0"
"2020";"Grandes régions urbaines";"";"Logements (achèvements)";"Logements jumelés";"Unités";"300";"unités";"0";"v732706";"1.3.3";"876";"";"";"";"0"
"2021";"Grandes régions urbaines";"";"Logements (achèvements)";"Logements jumelés";"Unités";"300";"unités";"0";"v732706";"1.3.3";"1031";"";"";"";"0"
"2022";"Grandes régions urbaines";"";"Logements (achèvements)";"Logements jumelés";"Unités";"300";"unités";"0";"v732706";"1.3.3";"959";"";"";"";"0"
"2005";"Grandes régions urbaines";"";"Logements (achèvements)";"Logements en bande";"Unités";"300";"unités";"0";"v732754";"1.3.4";"1918";"";"";"";"0"
"2006";"Grandes régions urbaines";"";"Logements (achèvements)";"Logements en bande";"Unités";"300";"unités";"0";"v732754";"1.3.4";"1937";"";"";"";"0"
"2007";"Grandes régions urbaines";"";"Logements (achèvements)";"Logements en bande";"Unités";"300";"unités";"0";"v732754";"1.3.4";"1012";"";"";"";"0"
"2008";"Grandes régions urbaines";"";"Logements (achèvements)";"Logements en bande";"Unités";"300";"unités";"0";"v732754";"1.3.4";"1050";"";"";"";"0"
"2009";"Grandes régions urbaines";"";"Logements (achèvements)";"Logements en bande";"Unités";"300";"unités";"0";"v732754";"1.3.4";"618";"";"";"";"0"
"2010";"Grandes régions urbaines";"";"Logements (achèvements)";"Logements en bande";"Unités";"300";"unités";"0";"v732754";"1.3.4";"1035";"";"";"";"0"
"2011";"Grandes régions urbaines";"";"Logements (achèvements)";"Logements en bande";"Unités";"300";"unités";"0";"v732754";"1.3.4";"657";"";"";"";"0"
"2012";"Grandes régions urbaines";"";"Logements (achèvements)";"Logements en bande";"Unités";"300";"unités";"0";"v732754";"1.3.4";"685";"";"";"";"0"
"2013";"Grandes régions urbaines";"";"Logements (achèvements)";"Logements en bande";"Unités";"300";"unités";"0";"v732754";"1.3.4";"922";"";"";"";"0"
"2014";"Grandes régions urbaines";"";"Logements (achèvements)";"Logements en bande";"Unités";"300";"unités";"0";"v732754";"1.3.4";"957";"";"";"";"0"
"2015";"Grandes régions urbaines";"";"Logements (achèvements)";"Logements en bande";"Unités";"300";"unités";"0";"v732754";"1.3.4";"954";"";"";"";"0"
"2016";"Grandes régions urbaines";"";"Logements (achèvements)";"Logements en bande";"Unités";"300";"unités";"0";"v732754";"1.3.4";"1127";"";"";"";"0"
"2017";"Grandes régions urbaines";"";"Logements (achèvements)";"Logements en bande";"Unités";"300";"unités";"0";"v732754";"1.3.4";"809";"";"";"";"0"
"2018";"Grandes régions urbaines";"";"Logements (achèvements)";"Logements en bande";"Unités";"300";"unités";"0";"v732754";"1.3.4";"1272";"";"";"";"0"
"2019";"Grandes régions urbaines";"";"Logements (achèvements)";"Logements en bande";"Unités";"300";"unités";"0";"v732754";"1.3.4";"1307";"";"";"";"0"
"2020";"Grandes régions urbaines";"";"Logements (achèvements)";"Logements en bande";"Unités";"300";"unités";"0";"v732754";"1.3.4";"920";"";"";"";"0"
"2021";"Grandes régions urbaines";"";"Logements (achèvements)";"Logements en bande";"Unités";"300";"unités";"0";"v732754";"1.3.4";"1115";"";"";"";"0"
"2022";"Grandes régions urbaines";"";"Logements (achèvements)";"Logements en bande";"Unités";"300";"unités";"0";"v732754";"1.3.4";"1183";"";"";"";"0"
"2005";"Grandes régions urbaines";"";"Logements (achèvements)";"Appartements et autres logements";"Unités";"300";"unités";"0";"v732802";"1.3.5";"2164";"";"";"";"0"
"2006";"Grandes régions urbaines";"";"Logements (achèvements)";"Appartements et autres logements";"Unités";"300";"unités";"0";"v732802";"1.3.5";"3675";"";"";"";"0"
"2007";"Grandes régions urbaines";"";"Logements (achèvements)";"Appartements et autres logements";"Unités";"300";"unités";"0";"v732802";"1.3.5";"3151";"";"";"";"0"
"2008";"Grandes régions urbaines";"";"Logements (achèvements)";"Appartements et autres logements";"Unités";"300";"unités";"0";"v732802";"1.3.5";"3393";"";"";"";"0"
"2009";"Grandes régions urbaines";"";"Logements (achèvements)";"Appartements et autres logements";"Unités";"300";"unités";"0";"v732802";"1.3.5";"2891";"";"";"";"0"
"2010";"Grandes régions urbaines";"";"Logements (achèvements)";"Appartements et autres logements";"Unités";"300";"unités";"0";"v732802";"1.3.5";"2971";"";"";"";"0"
"2011";"Grandes régions urbaines";"";"Logements (achèvements)";"Appartements et autres logements";"Unités";"300";"unités";"0";"v732802";"1.3.5";"3273";"";"";"";"0"
"2012";"Grandes régions urbaines";"";"Logements (achèvements)";"Appartements et autres logements";"Unités";"300";"unités";"0";"v732802";"1.3.5";"2596";"";"";"";"0"
"2013";"Grandes régions urbaines";"";"Logements (achèvements)";"Appartements et autres logements";"Unités";"300";"unités";"0";"v732802";"1.3.5";"2831";"";"";"";"0"
"2014";"Grandes régions urbaines";"";"Logements (achèvements)";"Appartements et autres logements";"Unités";"300";"unités";"0";"v732802";"1.3.5";"2916";"";"";"";"0"
"2015";"Grandes régions urbaines";"";"Logements (achèvements)";"Appartements et autres logements";"Unités";"300";"unités";"0";"v732802";"1.3.5";"2666";"";"";"";"0"
"2016";"Grandes régions urbaines";"";"Logements (achèvements)";"Appartements et autres logements";"Unités";"300";"unités";"0";"v732802";"1.3.5";"2962";"";"";"";"0"
"2017";"Grandes régions urbaines";"";"Logements (achèvements)";"Appartements et autres logements";"Unités";"300";"unités";"0";"v732802";"1.3.5";"2286";"";"";"";"0"
"2018";"Grandes régions urbaines";"";"Logements (achèvements)";"Appartements et autres logements";"Unités";"300";"unités";"0";"v732802";"1.3.5";"2825";"";"";"";"0"
"2019";"Grandes régions urbaines";"";"Logements (achèvements)";"Appartements et autres logements";"Unités";"300";"unités";"0";"v732802";"1.3.5";"4545";"";"";"";"0"
"2020";"Grandes régions urbaines";"";"Logements (achèvements)";"Appartements et autres logements";"Unités";"300";"unités";"0";"v732802";"1.3.5";"4875";"";"";"";"0"
"2021";"Grandes régions urbaines";"";"Logements (achèvements)";"Appartements et autres logements";"Unités";"300";"unités";"0";"v732802";"1.3.5";"4736";"";"";"";"0"
"2022";"Grandes régions urbaines";"";"Logements (achèvements)";"Appartements et autres logements";"Unités";"300";"unités";"0";"v732802";"1.3.5";"5823";"";"";"";"0"


